 BadLandings	1	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	211°]		 Bad Chance	0,000364775790560332%
 BadLandings	2	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	211,5°]		 Bad Chance	0,000728913445172953%
 BadLandings	3	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	212°]		 Bad Chance	0,00109241463689958%
 BadLandings	4	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	212,5°]		 Bad Chance	0,00145528103295848%
 BadLandings	5	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	213°]		 Bad Chance	0,00181751429474993%
 BadLandings	6	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	213,5°]		 Bad Chance	0,00217911607788161%
 BadLandings	7	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	214°]		 Bad Chance	0,0025400880321938%
 BadLandings	8	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	214,5°]		 Bad Chance	0,00290043180178449%
 BadLandings	9	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	215°]		 Bad Chance	0,00326014902503432%
 BadLandings	10	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	215,5°]		 Bad Chance	0,00361924133463143%
 BadLandings	11	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	216°]		 Bad Chance	0,00397771035759616%
 BadLandings	12	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	216,5°]		 Bad Chance	0,0043355577153056%
 BadLandings	13	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	217°]		 Bad Chance	0,00469278502351807%
 BadLandings	14	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	217,5°]		 Bad Chance	0,00504939389239742%
 BadLandings	15	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	218°]		 Bad Chance	0,0054053859265372%
 BadLandings	16	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	218,5°]		 Bad Chance	0,00576076272498479%
 BadLandings	17	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	219°]		 Bad Chance	0,00611552588126527%
 BadLandings	18	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	219,5°]		 Bad Chance	0,00646967698340528%
 BadLandings	19	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	220°]		 Bad Chance	0,00682321761395671%
 BadLandings	20	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	220,5°]		 Bad Chance	0,00717614935002027%
 BadLandings	21	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	221°]		 Bad Chance	0,00752847376326894%
 BadLandings	22	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	221,5°]		 Bad Chance	0,00788019241997127%
 BadLandings	23	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	222°]		 Bad Chance	0,00823130688101467%
 BadLandings	24	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	222,5°]		 Bad Chance	0,00858181870192841%
 BadLandings	25	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	223°]		 Bad Chance	0,00893172943290664%
 BadLandings	26	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	223,5°]		 Bad Chance	0,00928104061883123%
 BadLandings	27	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	224°]		 Bad Chance	0,00962975379929453%
 BadLandings	28	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	224,5°]		 Bad Chance	0,00997787050862195%
 BadLandings	29	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	225°]		 Bad Chance	0,0103253922758945%
 BadLandings	30	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	225,5°]		 Bad Chance	0,0106723206249711%
 BadLandings	31	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	226°]		 Bad Chance	0,011018657074511%
 BadLandings	32	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	226,5°]		 Bad Chance	0,0113644031379958%
 BadLandings	33	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	227°]		 Bad Chance	0,0117095603237516%
 BadLandings	34	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	227,5°]		 Bad Chance	0,0120541301349708%
 BadLandings	35	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	228°]		 Bad Chance	0,0123981140697341%
 BadLandings	36	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	228,5°]		 Bad Chance	0,012741513621032%
 BadLandings	37	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	229°]		 Bad Chance	0,0130843302767866%
 BadLandings	38	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	229,5°]		 Bad Chance	0,0134265655198731%
 BadLandings	39	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	230°]		 Bad Chance	0,0137682208281408%
 BadLandings	40	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	230,5°]		 Bad Chance	0,014109297674435%
 BadLandings	41	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	231°]		 Bad Chance	0,0144497975266176%
 BadLandings	42	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	231,5°]		 Bad Chance	0,0147897218475884%
 BadLandings	43	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	232°]		 Bad Chance	0,0151290720953061%
 BadLandings	44	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	232,5°]		 Bad Chance	0,0154678497228091%
 BadLandings	45	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	233°]		 Bad Chance	0,0158060561782361%
 BadLandings	46	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	233,5°]		 Bad Chance	0,016143692904847%
 BadLandings	47	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	234°]		 Bad Chance	0,0164807613410431%
 BadLandings	48	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	234,5°]		 Bad Chance	0,0168172629203878%
 BadLandings	49	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	235°]		 Bad Chance	0,0171531990716269%
 BadLandings	50	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	235,5°]		 Bad Chance	0,0174885712187086%
 BadLandings	51	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	236°]		 Bad Chance	0,0178233807808039%
 BadLandings	52	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	236,5°]		 Bad Chance	0,0181576291723264%
